2394;2570;2176;2283;2263
2740;2916;2223;2331;2567
616;689;808;574;688
660;836;396;634;487
415;468;647;463;566
631;807;412;520;500
518;588;893;567;669
2723;2899;2206;2313;2550
619;692;811;577;691
1344;1520;1106;1286;1171
510;686;540;399;514
551;727;332;440;420
610;692;875;659;762
2738;2914;2221;2328;2565
667;740;860;626;740
2739;2915;2222;2329;2566
666;739;859;625;739
609;720;345;583;436
632;723;896;680;783
572;690;836;620;723
228;404;295;118;232
1994;2170;1521;1628;1822
611;679;373;586;439
2797;2973;2280;2387;2624
394;571;396;284;398
348;130;665;339;442
956;1132;864;846;951
1358;1534;1120;1313;1185
160;395;446;67;223
733;806;926;692;806
2012;2188;1538;1645;1839
599;430;520;574;456
993;1094;1214;1041;1144
734;807;926;692;807
195;371;263;85;199
193;429;480;100;257
362;144;679;352;455
465;520;690;403;517
200;376;258;90;204
175;411;461;82;238
91;307;377;102;154
740;814;933;699;813
3290;3466;3026;3264;3117
196;372;262;86;200
734;807;927;693;807
2510;2686;2247;2485;2338
87;323;374;99;150
197;373;261;86;201
2514;2690;2250;2489;2341
3290;3466;3026;3265;3117
777;850;970;736;850
240;417;275;130;244
198;374;260;88;202
487;557;861;535;638
1999;2175;1781;1889;1868
532;585;906;580;683
199;375;259;89;203
733;806;925;691;805
473;649;596;362;476
729;802;921;688;802
1238;1156;1311;1287;1167
553;729;554;442;556
490;560;865;538;641
517;693;298;406;386
1292;1468;1073;1181;1161
224;400;235;113;141
1541;1717;1277;1516;1368
504;574;879;552;655
468;644;433;357;471
1224;1278;1459;1225;1375
612;442;504;587;468
368;544;299;257;307
110;256;396;121;173
502;572;877;551;653
346;454;466;235;349
438;600;598;367;481
420;596;352;310;360
578;509;436;553;382
794;770;1168;842;945
469;544;843;517;620
1180;1356;962;1070;1050
1889;2065;1671;1778;1758
1324;1500;1106;1214;1193
282;356;509;257;286
466;642;587;356;470
565;741;347;455;434
115;277;462;126;238
1358;1534;1140;1248;1227
475;651;477;365;479
599;775;600;488;602
1592;1768;1139;1322;1419
687;863;468;576;556
1370;1546;1151;1259;1239
120;282;467;131;243
604;677;749;562;677
1327;1503;1109;1216;1196
93;256;440;105;217
1590;1766;1137;1320;1417
1292;1468;1074;1181;1161
660;836;441;549;529
85;247;432;96;209
613;686;746;560;674
589;765;590;478;592
314;336;396;289;173
2146;2123;2520;2194;2297
1588;1764;1135;1317;1415
1290;1466;1072;1179;1159
131;304;478;142;255
256;258;483;231;259
623;671;896;671;774
267;443;171;194;96
1301;1477;1083;1191;1171
626;802;628;516;630
113;285;460;124;237
391;567;170;366;218
1298;1474;1080;1188;1167
371;547;85;289;206
337;513;128;312;164
1267;1443;1049;1157;1136
822;999;834;712;826
747;923;484;722;575
286;462;405;175;289
2533;2709;2269;2508;2361
51;269;398;62;174
369;545;70;287;204
281;457;401;170;284
1251;1427;1033;1141;1120
1263;1439;1045;1152;1132
1267;1443;1049;1157;1136
49;271;396;60;173
394;570;76;312;262
406;534;225;381;233
301;378;528;276;304
1502;1488;1876;1550;1653
282;458;403;172;286
289;465;208;197;109
399;575;82;317;267
269;445;321;158;272
281;457;402;171;285
58;234;396;70;172
1020;1093;1169;979;1093
483;659;125;348;311
