ID;Name;Latitude / Longitude;Adresse;Storetype;;;
382358844;None;6.876797/51.161256;None None;bicycle;;;
7096049313;West Lotto;6.777489/51.217735;None None;newsagent;;;
1306887073;Rossmann;6.773742/51.225299;Flinger Straﬂe 28;chemist;;;
5614003872;None;6.815313/51.197950;None None;kiosk;;;
385945181;Radsport Jachertz;6.902023/51.202372;Gerresheimer Landstraﬂe 74;bicycle;;;
3123148813;OBI;6.825524/51.216296;Kˆnigsberger Straﬂe 87;doityourself;;;
7096123213;TUI;6.776704/51.217584;None None;travel_agency;;;
7096206037;Trauring Schmiede;6.785927/51.222341;Bismarckstraﬂe 54a;jewelry;;;
1306887084;Rossmann;6.856358/51.237073;Benderstraﬂe 32;chemist;;;
5614003877;My Kiosk;6.826139/51.194571;None None;kiosk;;;
3123746244;Netto;6.815913/51.213921;Fichtenstraﬂe 129;supermarket;;;
385945182;Schulten;6.901923/51.202415;None None;newsagent; stationery; lotto; toto
5614004431;Post/DHL Shop;6.806959/51.212644;Kˆlner Straﬂe 278;kiosk;;;
387418846;None;6.852139/51.207778;None None;kiosk;;;
1306887092;Rossmann;6.834259/51.175563;Henkelstraﬂe 3-5;chemist;;;
3123991775;Gottschall & Sohn;6.823149/51.209828;Lierenfelder Straﬂe 35;doityourself;;;
7098644600;Station;6.776986/51.216071;Friedrichstraﬂe 28a;clothes;;;
387418851;Autohaus 4-Rad;6.858908/51.212555;In den Kˆtten 10;car;;;
1306887094;Rossmann;6.836118/51.202718;Gumbertstraﬂe 90-92;chemist;;;
5620309140;Feinkost Exotica;6.808341/51.231575;Grafenberger Allee 139;greengrocer;;;
3137499204;Brillux;6.818875/51.215568;Ronsdorfer Straﬂe 130;doityourself;;;
5620315341;Tabac & Co;6.808456/51.231594;Dorotheenstraﬂe 1;tobacco;;;
7099979241;Bonita;6.874138/51.164270;Hauptstraﬂe 31;clothes;;;
387418993;Bel Paese;6.866219/51.223447;None None;food;;;
3139286619;Joseph Computer + Service;6.774130/51.224405;Mittelstraﬂe 15;computer;;;
